31,4.44E+08,Bexley Hall Episcopal Seminary                                        ,Columbus Campus                                                       ,583 Sheridan Avenue                                                       ,Columbus            ,OH,4.32E+08,2,"Private nonprofit, 4-year or above  ",11,4,15,C ,0,0,1,0,0,0,5,0,0,0,0,0
32,4.56E+08,Education and Technology Institute                                    ,Main Campus                                                           ,219 Donohoe Rd                                                            ,Greensburg          ,PA,15601,8,"Private nonprofit, less-than 2-year ",0,15,15,A ,0,0,0,0,0,0,0,0,0,0,0,0
35,1.65E+08,Conway School of Landscape Design                                     ,Main Campus                                                           ,332 S. Deerfield Rd. P.O Box 179                                          ,CONWAY              ,MA,1.34E+07,2,"Private nonprofit, 4-year or above  ",6,10,16,A ,0,0,0,0,0,0,0,0,0,0,0,0
36,4.06E+08,Kiamichi Technology Center-Stigler                                    ,Stigler Campus                                                        ,1410 OLD MILITARY ROAD                                                    ,STIGLER             ,OK,7.45E+08,7,"Public, less-than 2-year            ",10,6,16,A ,0,0,0,0,0,0,0,0,0,0,0,0
37,2.07E+08,Claremore Beauty College                                              ,Main Campus                                                           ,200 N CHEROKEE                                                            ,CLAREMORE           ,OK,74017,9,"Private for-profit, less-than 2-year",0,17,17,A ,0,0,0,0,0,0,0,0,0,0,0,0
38,2.07E+08,Hollywood Cosmetology Center                                          ,Main Campus                                                           ,1708 W LINDSEY                                                            ,NORMAN              ,OK,73069,9,"Private for-profit, less-than 2-year",2,15,17,A ,0,0,0,0,0,0,0,0,0,0,0,0
40,4.47E+08,Alvareitas College of Cosmetology-Belleville                          ,Main Campus                                                           ,5400 West Main                                                            ,Belleville          ,IL,62226,9,"Private for-profit, less-than 2-year",1,17,18,A ,0,0,0,0,0,0,0,0,0,0,0,0
43,4.42E+08,Kussad Institute of Court Reporting                                   ,Main Campus                                                           ,2800 SOUTH IH35 STE 110                                                   ,AUSTIN              ,TX,78704,6,"Private for-profit, 2-year          ",2,16,18,A ,0,0,0,0,0,0,0,0,0,0,0,0
44,4.41E+08,Miami Ad School-Minneapolis                                           ,Miami Ad School Minneapolis                                           ,"25 North 4th Street , Suite 201                                           ",MINNEAPOLIS         ,MN,55401,6,"Private for-profit, 2-year          ",13,5,18,A ,0,0,0,0,0,0,0,0,0,0,0,0
45,4.48E+08,Northwest Regional Technology Institute                               ,Main Campus                                                           ,3104 State St                                                             ,Erie                ,PA,16508,6,"Private for-profit, 2-year          ",8,10,18,A ,0,0,0,0,0,0,0,0,0,0,0,0
46,2.37E+08,Appalachian Beauty School                                             ,Main Campus                                                           ,609A Central Avenue                                                       ,SOUTH WILLIAMSON    ,KY,41503,6,"Private for-profit, 2-year          ",1,18,19,A ,0,0,0,0,0,0,0,0,0,0,0,0
47,2.24E+08,Charles and Sues School of Hair Design                                ,Charles and Sue's School of Hair Design (223852)                      ,1711 BRIARCREST DR                                                        ,BRYAN               ,TX,77802,9,"Private for-profit, less-than 2-year",0,19,19,A ,0,0,0,0,0,0,0,0,0,0,0,0
